case_id,machine_id,component,failure,symptoms,resolution
CASE-0001,MC-003,Hydraulic Filter,Cylinder seal wear,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0002,MC-005,Accumulator,Filter blockage,Boom is slow; Arm is slow; Weak digging force,Replaced hydraulic filter element and cleaned suction strainer
CASE-0003,EXC-001,Hydraulic Pump,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Flushed oil cooler core and replaced fan motor
CASE-0004,MC-005,Main Control Valve,Internal pump leakage,Jerky cylinder movement; Inconsistent control response; System noise,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0005,MC-006,Bucket Cylinder,Valve spool binding,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Cleaned spool valve linkage and replaced valve seals
CASE-0006,MC-017,Boom Cylinder,Valve spool binding,Jerky cylinder movement; Inconsistent control response; System noise,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0007,MC-002,Accumulator,Oil contamination,Jerky cylinder movement; Inconsistent control response; System noise,Replaced pilot pressure reducing valve and pilot filter
CASE-0008,EXC-009,Oil Cooler,Oil contamination,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced worn hydraulic hose near swing joint
CASE-0009,EXC-008,Hydraulic Oil,Cylinder seal wear,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Recharged accumulator pre-charge to specification
CASE-0010,EXC-004,Hydraulic Oil,Cooler restriction,Jerky cylinder movement; Inconsistent control response; System noise,Cleaned spool valve linkage and replaced valve seals
CASE-0011,MC-019,Swing Motor,Internal pump leakage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0012,MC-007,Hydraulic Pump,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Flushed oil cooler core and replaced fan motor
CASE-0013,MC-018,Accumulator,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced hydraulic filter element and cleaned suction strainer
CASE-0014,EXC-009,Accumulator,Filter blockage,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced worn hydraulic hose near swing joint
CASE-0015,MC-009,Hydraulic Pump,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Rebuilt main pump assembly and replaced seals
CASE-0016,MC-011,Arm Cylinder,Pilot pressure drop,Boom is slow; Arm is slow; Weak digging force,Recharged accumulator pre-charge to specification
CASE-0017,MC-008,Hydraulic Pump,Valve spool binding,Jerky cylinder movement; Inconsistent control response; System noise,Bled hydraulic lines and replaced damaged fittings
CASE-0018,MC-017,Travel Motor,Air ingress,Jerky cylinder movement; Inconsistent control response; System noise,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0019,MC-015,Main Control Valve,Air ingress,Jerky cylinder movement; Inconsistent control response; System noise,Flushed oil cooler core and replaced fan motor
CASE-0020,EXC-008,Oil Cooler,Cylinder seal wear,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Recharged accumulator pre-charge to specification
CASE-0021,MC-016,Hydraulic Filter,Cylinder seal wear,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0022,MC-006,Travel Motor,Pilot pressure drop,Boom is slow; Arm is slow; Weak digging force,Rebuilt main pump assembly and replaced seals
CASE-0023,MC-006,Hydraulic Filter,Oil contamination,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Cleaned spool valve linkage and replaced valve seals
CASE-0024,EXC-008,Oil Cooler,Cooler restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Flushed oil cooler core and replaced fan motor
CASE-0025,MC-001,Boom Cylinder,Oil contamination,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Flushed oil cooler core and replaced fan motor
CASE-0026,EXC-008,Travel Motor,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0027,MC-007,Hydraulic Oil,Cylinder seal wear,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Bled hydraulic lines and replaced damaged fittings
CASE-0028,MC-001,Boom Cylinder,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced hydraulic filter element and cleaned suction strainer
CASE-0029,EXC-006,Boom Cylinder,Oil contamination,Jerky cylinder movement; Inconsistent control response; System noise,Rebuilt main pump assembly and replaced seals
CASE-0030,MC-020,Hydraulic Filter,Pilot pressure drop,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Bled hydraulic lines and replaced damaged fittings
CASE-0031,EXC-003,Arm Cylinder,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0032,MC-007,Boom Cylinder,Accumulator pressure loss,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced cylinder seals and holding valve
CASE-0033,MC-017,Bucket Cylinder,Oil contamination,Boom is slow; Arm is slow; Weak digging force,Recharged accumulator pre-charge to specification
CASE-0034,MC-013,Arm Cylinder,Internal pump leakage,Functions drift down when idle; Pressure drop under load; Sluggish response,Flushed oil cooler core and replaced fan motor
CASE-0035,MC-017,Boom Cylinder,Cylinder seal wear,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced cylinder seals and holding valve
