service_id,maintenance_id,equipment_id,technician_id,service_date,service_type,service_shift,meter_reading_hours,inspection_finding,diagnostic_method,root_cause_confirmed,repair_or_service_action,part_replaced,test_after_service,service_duration_hours,downtime_hours,service_cost,next_service_due,service_status,technician_notes
SR-00001,MR-00001,EQ-0202,TECH-0394,2023-06-29,Corrective,Day,6394,Hydraulic Pump: Oil contamination; observed symptom: hydraulic oil temperature rises during continuous operation.,Temperature and pressure checks,blocked cooler core,inspected hydraulic circuit and isolated the affected component,Cylinder seal kit,Leak test passed,12.22,0.25,62210.46,2023-09-04,Follow-up Required,"Technician checked Hydraulic Pump, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00002,MR-00002,EQ-0024,TECH-0141,2023-07-19,Preventive,Night,14544,Hydraulic Pump: Line restriction; observed symptom: hydraulic flow is low at operating temperature.,Visual inspection and pressure test,contaminated hydraulic oil,"drained contaminated oil, flushed circuit and refilled with filtered oil",Pump seal kit,Operational test passed,2.2,0.25,41449.83,2023-08-19,Closed,"Technician checked Hydraulic Pump, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00003,MR-00003,EQ-0105,TECH-0271,2023-05-13,Corrective,Night,8708,Hydraulic Pump: Air ingress; observed symptom: hydraulic flow is low at operating temperature.,Pressure and flow measurement,high oil temperature,tested pilot pressure and inspected pilot circuit,Valve O-rings,Test passed; monitor during next shift,4.46,6.86,43065.09,2023-10-08,Closed - Monitor,"Technician checked Hydraulic Pump, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00004,MR-00004,EQ-0155,TECH-0360,2023-08-16,Preventive,Day,2698,Hydraulic Cooler: Cooler restriction; observed symptom: travel function loses power on incline.,Pressure and flow measurement,contaminated hydraulic oil,cleaned cooler and verified hydraulic oil temperature,Hydraulic filter,Pressure test passed,6.62,6.37,40122.29,2023-12-16,Closed,"Technician checked Hydraulic Cooler, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00005,MR-00005,EQ-0140,TECH-0617,2025-04-28,Corrective,Day,15932,Main Control Valve: Internal leakage; observed symptom: hydraulic flow is low at operating temperature.,Filter inspection and fluid condition check,loss of accumulator pre-charge,checked pressure and flow at operating temperature,Pilot filter,Leak test passed,6.47,11.73,51790.52,2025-07-02,Closed,"Technician checked Main Control Valve, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00006,MR-00006,EQ-0186,TECH-0115,2025-02-02,Corrective,Night,6384,Hydraulic Hose: Overheating; observed symptom: bucket cylinder leaking externally.,Filter inspection and fluid condition check,damaged hydraulic hose,cleaned cooler and verified hydraulic oil temperature,Hydraulic oil,Pressure test passed,8.78,6.74,36032.27,2025-07-21,Closed,"Technician checked Hydraulic Hose, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00007,MR-00007,EQ-0025,TECH-0106,2022-02-12,Corrective,Day,12792,Hydraulic Line: Cooler restriction; observed symptom: hydraulic oil temperature rises during continuous operation.,Visual inspection and pressure test,restricted return filter,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cooler gasket set,Operational test passed,15.03,1.22,14545.98,2022-07-24,Closed,"Technician checked Hydraulic Line, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00008,MR-00008,EQ-0207,TECH-0091,2023-03-14,Condition-Based,Day,6161,Hydraulic Line: Air ingress; observed symptom: pilot pressure below expected range.,Visual inspection and pressure test,restricted hydraulic line,replaced damaged hose and pressure-tested the circuit,Cylinder seal kit,Operational test passed,10.45,1.77,67698.19,2023-04-23,Closed,"Technician checked Hydraulic Line, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00009,MR-00009,EQ-0062,TECH-0602,2023-08-13,Corrective,Night,7994,Swing Motor: External leakage; observed symptom: visible oil leak near hydraulic line.,Pressure and flow measurement,contaminated hydraulic oil,inspected hydraulic circuit and isolated the affected component,Valve O-rings,Leak test passed,11.57,3.3,16808.46,2023-10-14,Closed,"Technician checked Swing Motor, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00010,MR-00010,EQ-0052,TECH-0333,2023-07-07,Corrective,Night,13438,Bucket Cylinder: Accumulator pressure loss; observed symptom: hydraulic oil appears contaminated.,Visual inspection and pressure test,blocked cooler core,checked pressure and flow at operating temperature,Cylinder seal kit,Pressure test passed,10.64,7.35,52973.97,2023-08-13,Closed,"Technician checked Bucket Cylinder, recorded the reported symptom, performed the required service action, and completed a post-service test."
