maintenance_id,service_id,equipment_id,equipment_type,equipment_model_class,site_id,maintenance_date,maintenance_type,priority,operating_hours,component,failure_mode,reported_symptom,probable_cause,work_performed,parts_materials,technician_id,labor_hours,downtime_hours,material_cost,labor_cost,total_cost,status
MR-00001,SR-00001,EQ-0202,Crawler Dozer,25T Class Dozer,SITE-08,2023-06-29,Corrective,Medium,6394,Hydraulic Pump,Oil contamination,hydraulic oil temperature rises during continuous operation,blocked cooler core,inspected hydraulic circuit and isolated the affected component,Cylinder seal kit,TECH-0394,12.22,0.25,52400.89,9809.57,62210.46,Closed
MR-00002,SR-00002,EQ-0024,Hydraulic Excavator,45T Class Excavator,SITE-02,2023-07-19,Preventive,Medium,14544,Hydraulic Pump,Line restriction,hydraulic flow is low at operating temperature,contaminated hydraulic oil,"drained contaminated oil, flushed circuit and refilled with filtered oil",Pump seal kit,TECH-0141,2.2,0.25,39707.84,1741.99,41449.83,Completed
MR-00003,SR-00003,EQ-0105,Hydraulic Excavator,30T Class Excavator,SITE-03,2023-05-13,Corrective,High,8708,Hydraulic Pump,Air ingress,hydraulic flow is low at operating temperature,high oil temperature,tested pilot pressure and inspected pilot circuit,Valve O-rings,TECH-0271,4.46,6.86,38420.38,4644.71,43065.09,Completed
MR-00004,SR-00004,EQ-0155,Motor Grader,16M Class Grader,SITE-03,2023-08-16,Preventive,Medium,2698,Hydraulic Cooler,Cooler restriction,travel function loses power on incline,contaminated hydraulic oil,cleaned cooler and verified hydraulic oil temperature,Hydraulic filter,TECH-0360,6.62,6.37,35616.1,4506.19,40122.29,Completed - Monitor
MR-00005,SR-00005,EQ-0140,Crawler Dozer,35T Class Dozer,SITE-02,2025-04-28,Corrective,High,15932,Main Control Valve,Internal leakage,hydraulic flow is low at operating temperature,loss of accumulator pre-charge,checked pressure and flow at operating temperature,Pilot filter,TECH-0617,6.47,11.73,46432.24,5358.28,51790.52,Completed
MR-00006,SR-00006,EQ-0186,Hydraulic Excavator,20T Class Excavator,SITE-03,2025-02-02,Corrective,Medium,6384,Hydraulic Hose,Overheating,bucket cylinder leaking externally,damaged hydraulic hose,cleaned cooler and verified hydraulic oil temperature,Hydraulic oil,TECH-0115,8.78,6.74,27583.74,8448.53,36032.27,Completed
MR-00007,SR-00007,EQ-0025,Backhoe Loader,4WD Backhoe Loader,SITE-02,2022-02-12,Corrective,Medium,12792,Hydraulic Line,Cooler restriction,hydraulic oil temperature rises during continuous operation,restricted return filter,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cooler gasket set,TECH-0106,15.03,1.22,2171.16,12374.82,14545.98,Completed
MR-00008,SR-00008,EQ-0207,Hydraulic Excavator,30T Class Excavator,SITE-01,2023-03-14,Condition-Based,Medium,6161,Hydraulic Line,Air ingress,pilot pressure below expected range,restricted hydraulic line,replaced damaged hose and pressure-tested the circuit,Cylinder seal kit,TECH-0091,10.45,1.77,58226.64,9471.55,67698.19,Follow-up Required
MR-00009,SR-00009,EQ-0062,Hydraulic Excavator,20T Class Excavator,SITE-07,2023-08-13,Corrective,Critical,7994,Swing Motor,External leakage,visible oil leak near hydraulic line,contaminated hydraulic oil,inspected hydraulic circuit and isolated the affected component,Valve O-rings,TECH-0602,11.57,3.3,9068.1,7740.36,16808.46,Completed
MR-00010,SR-00010,EQ-0052,Wheel Loader,20T Class Wheel Loader,SITE-01,2023-07-07,Corrective,Medium,13438,Bucket Cylinder,Accumulator pressure loss,hydraulic oil appears contaminated,blocked cooler core,checked pressure and flow at operating temperature,Cylinder seal kit,TECH-0333,10.64,7.35,44262.81,8711.16,52973.97,Completed
