maintenance_id,service_id,equipment_id,equipment_type,equipment_model_class,site_id,maintenance_date,maintenance_type,priority,operating_hours,component,failure_mode,reported_symptom,probable_cause,work_performed,parts_materials,technician_id,labor_hours,downtime_hours,material_cost,labor_cost,total_cost,status
MR-00001,SR-00001,EQ-0202,Crawler Dozer,25T Class Dozer,SITE-02,2024-05-15,Preventive,Low,3398,Hydraulic Oil,Line restriction,pump noise increases during operation,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Return filter element,TECH-0203,10.67,3.64,9015.89,1839.05,10854.94,Completed - Monitor
MR-00002,SR-00002,EQ-0197,Motor Grader,20T Class Excavator,SITE-04,2024-05-15,Preventive,High,3074,Hydraulic Filter,Filter blockage,hydraulic flow is low at operating temperature,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,TECH-0126,15.48,9.13,12373.34,9223.51,21596.85,Completed - Monitor
MR-00003,SR-00003,EQ-0214,Motor Grader,35T Class Dozer,SITE-01,2024-05-15,Inspection,Low,1722,Arm Cylinder,Pilot pressure drop,travel function loses power on incline,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,TECH-0282,4.89,5.87,60675.2,8822.56,69497.76,Follow-up Required
MR-00004,SR-00004,EQ-0115,Hydraulic Excavator,20T Class Excavator,SITE-06,2024-05-15,Corrective,Medium,5465,Swing Motor,Air ingress,travel function loses power on incline,damaged cylinder seal,inspected hydraulic circuit and isolated affected component,Hydraulic hose,TECH-0327,10.03,4.65,53203.72,5428.81,58632.53,Follow-up Required
MR-00005,SR-00005,EQ-0139,Wheel Loader,45T Class Excavator,SITE-05,2024-05-15,Preventive,Medium,14206,Swing Motor,Pilot pressure drop,pump noise increases during operation,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Hydraulic oil,TECH-0501,3.45,4.68,50773.05,4951.02,55724.07,Completed
MR-00006,SR-00006,EQ-0108,Motor Grader,30T Class Excavator,SITE-02,2024-05-15,Inspection,Medium,15419,Swing Motor,Cooler restriction,hydraulic oil temperature rises during continuous operation,high oil temperature,tested pilot pressure and inspected pilot circuit,Cooler gasket set,TECH-0922,2.41,5.21,56527.52,4034.3,60561.82,Completed - Monitor
MR-00007,SR-00007,EQ-0235,Backhoe Loader,45T Class Excavator,SITE-08,2024-05-15,Preventive,Medium,16165,Hydraulic Filter,Accumulator pressure loss,arm movement slow after hydraulic oil warms,damaged cylinder seal,inspected hydraulic circuit and isolated affected component,Hydraulic oil,TECH-0753,12.25,1.71,25553.13,1887.41,27440.54,Completed
MR-00008,SR-00008,EQ-0236,Backhoe Loader,30T Class Excavator,SITE-05,2024-05-15,Preventive,Critical,4988,Bucket Cylinder,Filter blockage,hydraulic flow is low at operating temperature,loss of accumulator pre-charge,inspected hydraulic circuit and isolated affected component,Pump seal kit,TECH-0576,11.38,11.6,12534.32,10888.81,23423.13,Closed
MR-00009,SR-00009,EQ-0144,Crawler Dozer,30T Class Excavator,SITE-04,2024-05-15,Condition-Based,High,16416,Oil Cooler,Cooler restriction,travel function loses power on incline,blocked cooler core,tested pilot pressure and inspected pilot circuit,Hydraulic oil,TECH-0122,13.3,11.45,14707.29,12596.46,27303.75,Completed - Monitor
MR-00010,SR-00010,EQ-0108,Wheel Loader,20T Class Excavator,SITE-08,2024-05-15,Inspection,Critical,12456,Accumulator,Cooler restriction,pump noise increases during operation,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Pump seal kit,TECH-0997,1.82,3.39,43324.41,4436.75,47761.16,Completed - Monitor
MR-00011,SR-00011,EQ-0190,Wheel Loader,30T Class Excavator,SITE-04,2024-05-15,Condition-Based,Medium,18064,Accumulator,Filter blockage,arm movement slow after hydraulic oil warms,high oil temperature,replaced damaged hose and pressure-tested circuit,Valve O-rings,TECH-0708,12.09,11.33,53510.0,5901.76,59411.76,Completed - Monitor
MR-00012,SR-00012,EQ-0208,Motor Grader,35T Class Dozer,SITE-04,2024-05-15,Preventive,Critical,3926,Pilot System,Pilot pressure drop,hydraulic flow is low at operating temperature,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,TECH-0819,3.75,3.01,54140.24,13336.24,67476.48,Closed
MR-00013,SR-00013,EQ-0107,Crawler Dozer,30T Class Excavator,SITE-02,2024-05-15,Condition-Based,Medium,5841,Main Control Valve,Oil contamination,pump noise increases during operation,air entering suction line,tested pilot pressure and inspected pilot circuit,Cylinder seal kit,TECH-0680,15.57,0.74,19211.33,4458.92,23670.25,Closed
MR-00014,SR-00014,EQ-0112,Crawler Dozer,25T Class Dozer,SITE-05,2024-05-15,Condition-Based,Low,8726,Hydraulic Oil,Accumulator pressure loss,arm movement slow after hydraulic oil warms,air entering suction line,tested pilot pressure and inspected pilot circuit,Valve O-rings,TECH-0829,14.97,11.14,62763.57,5849.05,68612.62,Completed - Monitor
MR-00015,SR-00015,EQ-0203,Motor Grader,30T Class Excavator,SITE-07,2024-05-15,Condition-Based,Critical,14234,Oil Cooler,Pilot pressure drop,bucket cylinder leaking externally,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,TECH-0196,1.4,5.7,6426.38,718.7,7145.08,Follow-up Required
