service_id,maintenance_id,equipment_id,technician_id,service_date,service_type,service_shift,meter_reading_hours,inspection_finding,diagnostic_method,root_cause_confirmed,repair_or_service_action,part_replaced,test_after_service,service_duration_hours,downtime_hours,service_cost,next_service_due,service_status,technician_notes
SR-00001,MR-00001,EQ-0202,TECH-0203,2024-05-15,Preventive,Evening,3398,Hydraulic Oil: Line restriction; observed symptom: pump noise increases during operation.,Filter inspection and fluid condition check,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Return filter element,Pressure test passed,10.67,3.64,10854.94,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00002,MR-00002,EQ-0197,TECH-0126,2024-05-15,Preventive,Evening,3074,Hydraulic Filter: Filter blockage; observed symptom: hydraulic flow is low at operating temperature.,Operational test under load,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,Operational test passed,15.48,9.13,21596.85,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00003,MR-00003,EQ-0214,TECH-0282,2024-05-15,Inspection,Day,1722,Arm Cylinder: Pilot pressure drop; observed symptom: travel function loses power on incline.,Operational test under load,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,Functional test passed,4.89,5.87,69497.76,2024-11-15,Follow-up Required,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00004,MR-00004,EQ-0115,TECH-0327,2024-05-15,Corrective,Day,5465,Swing Motor: Air ingress; observed symptom: travel function loses power on incline.,Temperature and pressure checks,damaged cylinder seal,inspected hydraulic circuit and isolated affected component,Hydraulic hose,Leak test passed,10.03,4.65,58632.53,2024-11-15,Follow-up Required,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00005,MR-00005,EQ-0139,TECH-0501,2024-05-15,Preventive,Day,14206,Swing Motor: Pilot pressure drop; observed symptom: pump noise increases during operation.,Temperature and pressure checks,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Hydraulic oil,Leak test passed,3.45,4.68,55724.07,2024-11-15,Completed,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00006,MR-00006,EQ-0108,TECH-0922,2024-05-15,Inspection,Evening,15419,Swing Motor: Cooler restriction; observed symptom: hydraulic oil temperature rises during continuous operation.,Filter inspection and fluid condition check,high oil temperature,tested pilot pressure and inspected pilot circuit,Cooler gasket set,Pressure test passed,2.41,5.21,60561.82,2024-11-15,Completed - Monitor,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00007,MR-00007,EQ-0235,TECH-0753,2024-05-15,Preventive,Day,16165,Hydraulic Filter: Accumulator pressure loss; observed symptom: arm movement slow after hydraulic oil warms.,Temperature and pressure checks,damaged cylinder seal,inspected hydraulic circuit and isolated affected component,Hydraulic oil,Pressure test passed,12.25,1.71,27440.54,2024-11-15,Completed,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00008,MR-00008,EQ-0236,TECH-0576,2024-05-15,Preventive,Evening,4988,Bucket Cylinder: Filter blockage; observed symptom: hydraulic flow is low at operating temperature.,Operational test under load,loss of accumulator pre-charge,inspected hydraulic circuit and isolated affected component,Pump seal kit,Functional test passed,11.38,11.6,23423.13,2024-11-15,Closed,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00009,MR-00009,EQ-0144,TECH-0122,2024-05-15,Condition-Based,Evening,16416,Oil Cooler: Cooler restriction; observed symptom: travel function loses power on incline.,Operational test under load,blocked cooler core,tested pilot pressure and inspected pilot circuit,Hydraulic oil,Functional test passed,13.3,11.45,27303.75,2024-11-15,Completed - Monitor,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00010,MR-00010,EQ-0108,TECH-0997,2024-05-15,Inspection,Night,12456,Accumulator: Cooler restriction; observed symptom: pump noise increases during operation.,Operational test under load,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Pump seal kit,Functional test passed,1.82,3.39,47761.16,2024-11-15,Completed - Monitor,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00011,MR-00011,EQ-0190,TECH-0708,2024-05-15,Condition-Based,Night,18064,Accumulator: Filter blockage; observed symptom: arm movement slow after hydraulic oil warms.,Operational test under load,high oil temperature,replaced damaged hose and pressure-tested circuit,Valve O-rings,Leak test passed,12.09,11.33,59411.76,2024-11-15,Completed - Monitor,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00012,MR-00012,EQ-0208,TECH-0819,2024-05-15,Preventive,Night,3926,Pilot System: Pilot pressure drop; observed symptom: hydraulic flow is low at operating temperature.,Filter inspection and fluid condition check,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,Leak test passed,3.75,3.01,67476.48,2024-11-15,Closed,"Technician checked Pilot System, recorded reported symptom, performed required service action, and completed post-service test."
SR-00013,MR-00013,EQ-0107,TECH-0680,2024-05-15,Condition-Based,Night,5841,Main Control Valve: Oil contamination; observed symptom: pump noise increases during operation.,Filter inspection and fluid condition check,air entering suction line,tested pilot pressure and inspected pilot circuit,Cylinder seal kit,Pressure test passed,15.57,0.74,23670.25,2024-11-15,Closed,"Technician checked Main Control Valve, recorded reported symptom, performed required service action, and completed post-service test."
SR-00014,MR-00014,EQ-0112,TECH-0829,2024-05-15,Condition-Based,Evening,8726,Hydraulic Oil: Accumulator pressure loss; observed symptom: arm movement slow after hydraulic oil warms.,Temperature and pressure checks,air entering suction line,tested pilot pressure and inspected pilot circuit,Valve O-rings,Leak test passed,14.97,11.14,68612.62,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00015,MR-00015,EQ-0203,TECH-0196,2024-05-15,Condition-Based,Day,14234,Oil Cooler: Pilot pressure drop; observed symptom: bucket cylinder leaking externally.,Temperature and pressure checks,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,Pressure test passed,1.4,5.7,7145.08,2024-11-15,Follow-up Required,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00016,MR-00016,EQ-0132,TECH-0247,2024-05-15,Preventive,Day,14437,Hydraulic Line: Internal pump leakage; observed symptom: hydraulic oil temperature rises during continuous operation.,Filter inspection and fluid condition check,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,Operational test passed,7.86,5.29,25911.39,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00017,MR-00017,EQ-0184,TECH-0630,2024-05-15,Inspection,Night,13757,Oil Cooler: Filter blockage; observed symptom: hydraulic oil temperature rises during continuous operation.,Filter inspection and fluid condition check,blocked cooler core,replaced damaged hose and pressure-tested circuit,Return filter element,Pressure test passed,5.23,2.53,62157.32,2024-11-15,Completed,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00018,MR-00018,EQ-0196,TECH-0894,2024-05-15,Preventive,Day,17409,Bucket Cylinder: Air ingress; observed symptom: hydraulic oil temperature rises during continuous operation.,Filter inspection and fluid condition check,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,Operational test passed,5.99,9.73,14387.07,2024-11-15,Completed,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00019,MR-00019,EQ-0164,TECH-0117,2024-05-15,Condition-Based,Day,4496,Oil Cooler: Internal pump leakage; observed symptom: pump noise increases during operation.,Operational test under load,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,Leak test passed,2.42,11.92,70206.41,2024-11-15,Completed - Monitor,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00020,MR-00020,EQ-0235,TECH-0426,2024-05-15,Preventive,Evening,14538,Accumulator: Cylinder seal wear; observed symptom: pump noise increases during operation.,Visual inspection and pressure test,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cooler gasket set,Operational test passed,8.81,8.41,66099.42,2024-11-15,Completed - Monitor,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00021,MR-00021,EQ-0173,TECH-0421,2024-05-15,Condition-Based,Day,17102,Swing Motor: Oil contamination; observed symptom: pump noise increases during operation.,Operational test under load,damaged cylinder seal,tested pilot pressure and inspected pilot circuit,Hydraulic filter,Operational test passed,10.2,2.18,50341.08,2024-11-15,Completed - Monitor,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
