technician_id,role,specialization,primary_certification,skill_level,experience_years,shift,employment_type,region,workshop_or_field,active_status
TECH-0001,Senior Technician,Heavy Equipment,Hydraulic Systems Level 1,Lead,16,Day,Service Partner,North India,Field,Active
TECH-0002,Hydraulic Technician,Hydraulics,Fluid Power Technician,Junior,2,Evening,Permanent,North India,Field,Active
TECH-0003,Field Service Technician,Heavy Equipment,Industrial Safety,Lead,18,Day,Contract,East India,Field,Active
TECH-0004,Maintenance Technician,Heavy Equipment,Hydraulic Systems Level 1,Senior,10,Day,Permanent,East India,Field,On Rotation
TECH-0005,Senior Technician,Heavy Equipment,Hydraulic Systems Level 1,Junior,3,Day,Permanent,East India,Workshop,On Rotation
TECH-0006,Hydraulic Technician,Hydraulics,OEM-Equivalent Service Training,Senior,11,Day,Permanent,Central India,Field,Active
TECH-0007,Hydraulic Technician,General Maintenance,Heavy Equipment Maintenance,Lead,15,Day,Permanent,Central India,Field,Active
TECH-0008,Field Service Technician,Hydraulics,Hydraulic Systems Level 1,Senior,13,Night,Permanent,Central India,Field,Active
TECH-0009,Field Service Technician,Powertrain,Heavy Equipment Maintenance,Intermediate,4,Day,Permanent,West India,Workshop,Active
TECH-0010,Field Service Technician,General Maintenance,OEM-Equivalent Service Training,Senior,10,Evening,Permanent,Central India,Workshop,On Rotation
TECH-0011,Hydraulic Technician,General Maintenance,OEM-Equivalent Service Training,Intermediate,6,Evening,Permanent,Central India,Field,On Rotation
TECH-0012,Workshop Technician,Hydraulics,OEM-Equivalent Service Training,Lead,15,Night,Permanent,West India,Field,Active
TECH-0013,Hydraulic Technician,Hydraulics,Fluid Power Technician,Senior,13,Day,Permanent,West India,Field,Active
TECH-0014,Workshop Technician,Powertrain,Hydraulic Systems Level 2,Senior,14,Night,Permanent,South India,Field,On Rotation
TECH-0015,Field Service Technician,Hydraulics,Industrial Safety,Intermediate,5,Night,Permanent,North India,Workshop,Active
TECH-0016,Field Service Technician,Hydraulics,OEM-Equivalent Service Training,Intermediate,6,Night,Permanent,West India,Workshop,Active
TECH-0017,Diagnostic Technician,Heavy Equipment,Hydraulic Systems Level 1,Junior,2,Evening,Permanent,North India,Field,Active
